FromNode	ToNode	Period	transmissionInstalledCap
ES111	ES112	1	7641.461766640498
ES111	ES112	2	7641.461784434193
ES111	ES114	1	5049.62093050274
ES111	ES114	2	5049.620934341653
ES112	ES113	1	1474.668061020909
ES112	ES113	2	1474.668070325801
ES112	ES114	1	0.00014930371047627318
ES112	ES114	2	0.0001884183233834617
ES112	ES120	1	4027.4764338850146
ES112	ES120	2	4027.476434474464
ES112	ES413	1	4066.508891835315
ES112	ES413	2	4066.508901630567
ES113	ES114	1	6863.7329704282265
ES113	ES114	2	6863.732977414851
ES113	ES413	1	2770.588475803615
ES113	ES413	2	2770.588478101215
ES113	ES419	1	6618.064906376334
ES113	ES419	2	6618.064906986335
ES113	Portugal	1	8666.90573364432
ES113	Portugal	2	8666.90573364432
ES114	Portugal	1	0.0
ES114	Portugal	2	0.0
ES120	ES130	1	5049.620926312549
ES120	ES130	2	5049.620928812302
ES120	ES413	1	5853.985326916689
ES120	ES413	2	5853.985330277296
ES130	ES213	1	5362.429304034196
ES130	ES213	2	5362.429310023208
ES130	ES412	1	983.1120397022623
ES130	ES412	2	983.1120400947306
ES130	ES413	1	2279.0324561157913
ES130	ES413	2	2279.032459101829
ES130	ES414	1	1787.4764368313968
ES130	ES414	2	1787.4764381230023
ES211	ES212	1	4558.064910785221
ES211	ES212	2	4558.064913566068
ES211	ES213	1	1474.6680593000267
ES211	ES213	2	1474.6680606594791
ES211	ES220	1	0.00032525804353053745
ES211	ES220	2	0.0003867531781796392
ES211	ES230	1	491.5560230272513
ES211	ES230	2	491.556023068229
ES211	ES412	1	3262.144495554436
ES211	ES412	2	3262.144499423997
ES211	ES414	1	4867.4764337187835
ES211	ES414	2	4867.476433968702
ES212	ES213	1	5049.620938294057
ES212	ES213	2	5049.620956185257
ES212	ES220	1	983.1120403785043
ES212	ES220	2	983.1120429110257
ES212	France	1	2290.20418030794
ES212	France	2	2290.20418030794
ES213	ES412	1	1787.4764353122198
ES213	ES412	2	1787.4764381657133
ES220	ES230	1	8803.321437727955
ES220	ES230	2	8803.321444962765
ES220	ES241	1	491.5560216377192
ES220	ES241	2	491.5560243755103
ES220	ES243	1	4279.032453169854
ES220	ES243	2	4279.032453513705
ES220	France	1	0.0
ES220	France	2	1999.9999998029878
ES230	ES243	1	0.0002706488644089001
ES230	ES243	2	0.0002708092058578426
ES230	ES412	1	2279.03245649144
ES230	ES412	2	2279.032464714621
ES230	ES417	1	0.0034888080320686467
ES230	ES417	2	0.00348944554711728
ES241	ES243	1	3440.892137610941
ES241	ES243	2	3440.8921445277947
ES241	ES513	1	1873.1120404761032
ES241	ES513	2	1873.1120426855637
ES241	France	1	502.727746896866
ES241	France	2	502.727746896866
ES242	ES243	1	12691.082694290933
ES242	ES243	2	12691.082694312103
ES242	ES423	1	0.00017015747668202983
ES242	ES423	2	0.0001872515268008773
ES242	ES424	1	0.0001578087933327646
ES242	ES424	2	0.00017118839663237637
ES242	ES514	1	0.0001820997642720876
ES242	ES514	2	0.00020714884257762891
ES242	ES522	1	8937.382175145265
ES242	ES522	2	8937.38218147133
ES242	ES523	1	2030.0000019023448
ES242	ES523	2	2030.000006913634
ES243	ES417	1	2770.5884755386073
ES243	ES417	2	2770.588480713114
ES243	ES424	1	3574.952870189097
ES243	ES424	2	3574.9528742716097
ES243	ES513	1	3108.961922572082
ES243	ES513	2	3108.961925666031
ES243	ES514	1	5049.620925867398
ES243	ES514	2	5049.620929583818
ES300	ES414	1	1787.4764360397185
ES300	ES414	2	1787.4764379795217
ES300	ES416	1	5362.42930660845
ES300	ES416	2	5362.429312007055
ES300	ES418	1	3574.9528701383383
ES300	ES418	2	3574.9528744981544
ES300	ES423	1	6036.508886781086
ES300	ES423	2	6036.508887133731
ES300	ES424	1	4558.064908464279
ES300	ES424	2	4558.064910947992
ES300	ES425	1	3579.33611769805
ES300	ES425	2	3579.3361183242228
ES300	ES432	1	10724.85860150986
ES300	ES432	2	10724.858609637984
ES412	ES414	1	5541.176950112338
ES412	ES414	2	5541.176953570886
ES412	ES416	1	0.00031793197752130915
ES412	ES416	2	4.102789172759271
ES412	ES417	1	0.0002782762293774366
ES412	ES417	2	0.0002797637272376539
ES412	ES418	1	0.0001530898544523953
ES412	ES418	2	0.00027528513965151226
ES413	ES414	1	6345.541345034603
ES413	ES414	2	6345.541350986319
ES413	ES418	1	8133.01777765624
ES413	ES418	2	8133.017782698349
ES413	ES419	1	3574.9528704189834
ES413	ES419	2	3574.952878322184
ES414	ES415	1	5817.476433437095
ES414	ES415	2	5817.47643344543
ES414	ES418	1	5049.620930591253
ES414	ES418	2	5049.620934130039
ES415	ES418	1	0.00019345671920184557
ES415	ES418	2	0.00027692675789684775
ES415	ES419	1	7820.209398760998
ES415	ES419	2	7820.209404448179
ES415	ES432	1	3574.9528695853487
ES415	ES432	2	3574.9528728436912
ES415	Portugal	1	491.556019188047
ES415	Portugal	2	491.556019188047
ES416	ES417	1	0.0003957925440854594
ES416	ES417	2	0.000977252902143943
ES416	ES418	1	5853.985326615796
ES416	ES418	2	5853.98533260486
ES416	ES424	1	0.00033739431367394785
ES416	ES424	2	0.0008720861067407334
ES417	ES418	1	1787.4764373487662
ES417	ES418	2	1787.476442205971
ES417	ES424	1	0.000206148112536957
ES417	ES424	2	0.0002503351313611184
ES418	ES419	1	15953.227179149511
ES418	ES419	2	15953.227190327903
ES419	Portugal	1	0.0
ES419	Portugal	2	0.0
ES421	ES422	1	1970.0000023445812
ES421	ES422	2	1970.0000057879029
ES421	ES423	1	5514.952867063989
ES421	ES423	2	5514.9528671463395
ES421	ES521	1	1440.0000027888304
ES421	ES521	2	1440.000004542347
ES421	ES523	1	1787.4764348950846
ES421	ES523	2	1787.476437253163
ES421	ES614	1	0.00018974939603025843
ES421	ES614	2	0.0002770994486765518
ES421	ES616	1	0.0001766316799069251
ES421	ES616	2	0.0001798649086899317
ES421	ES620	1	3574.9528698038484
ES421	ES620	2	3574.9528735778026
ES422	ES423	1	0.00011321510514213348
ES422	ES423	2	0.00015463064048810754
ES422	ES425	1	1966.2240845605497
ES422	ES425	2	1966.224095716682
ES422	ES431	1	3574.952871342811
ES422	ES431	2	3574.952871418888
ES422	ES613	1	983.1120411961849
ES422	ES613	2	983.1120412124418
ES422	ES616	1	4066.5088918242595
ES422	ES616	2	4066.508893689757
ES423	ES424	1	4066.5088909856004
ES423	ES424	2	4066.508894266801
ES423	ES425	1	0.00010908664520960828
ES423	ES425	2	0.00014256606720186119
ES423	ES523	1	3574.9528714886064
ES423	ES523	2	3574.9528745119096
ES425	ES431	1	0.0001009390007144413
ES425	ES431	2	0.00012333723726512283
ES425	ES432	1	1613.1120410643093
ES425	ES432	2	1613.1120412879288
ES431	ES432	1	11330.494212036401
ES431	ES432	2	11330.494212260499
ES431	ES613	1	0.00015261017477858073
ES431	ES613	2	0.0001731256864306438
ES431	ES615	1	0.00016808889283841675
ES431	ES615	2	0.0001996908036846095
ES431	ES618	1	14158.93818666706
ES431	ES618	2	14158.938186806763
ES431	Portugal	1	1787.47643341108
ES431	Portugal	2	1787.47643341108
ES432	ES616	1	1787.4764371218766
ES432	ES616	2	1787.476437522009
ES432	Portugal	1	1787.47643341108
ES432	Portugal	2	1787.47643341108
ES511	ES512	1	7392.429302123799
ES511	ES512	2	7392.429303520209
ES511	ES513	1	8094.653379844443
ES511	ES513	2	8094.65338350015
ES511	ES514	1	15953.227180948541
ES511	ES514	2	15953.227183151468
ES512	ES513	1	0.00016772788535466697
ES512	ES513	2	0.00022771533820829478
ES512	France	1	2859.96229345773
ES512	France	2	2859.96229345773
ES513	ES514	1	983.1120395276595
ES513	ES514	2	983.1120398885655
ES513	France	1	0.0
ES513	France	2	0.0
ES514	ES522	1	1787.476436374549
ES514	ES522	2	1787.4764402379221
ES521	ES523	1	4066.5088887387838
ES521	ES523	2	4066.5088929188764
ES521	ES620	1	14478.559120386257
ES521	ES620	2	14478.559127269258
ES522	ES523	1	4896.438358258124
ES522	ES523	2	4896.438361882837
ES523	ES532	1	1900.0
ES523	ES532	2	1900.0
ES611	ES614	1	2770.5884736227263
ES611	ES614	2	2770.588477674431
ES611	ES620	1	5362.429303370995
ES611	ES620	2	5362.429308636077
ES612	ES615	1	0.0001354113697215225
ES612	ES615	2	0.00019208064761485225
ES612	ES617	1	6524.288991301054
ES612	ES617	2	6524.288997134401
ES612	ES618	1	9116.129817277493
ES612	ES618	2	9116.129825162074
ES613	ES614	1	0.00012610642897047453
ES613	ES614	2	0.00017347819978317906
ES613	ES616	1	6345.541349626405
ES613	ES616	2	6345.541367528537
ES613	ES617	1	1787.4764358185546
ES613	ES617	2	1787.4764358351024
ES613	ES618	1	4066.5088919569885
ES613	ES618	2	4066.508906350458
ES614	ES616	1	491.55601949662736
ES614	ES616	2	491.55601975521824
ES614	ES617	1	2770.588474260724
ES614	ES617	2	2770.5884784952127
ES614	ES620	1	0.00026783971304464977
ES614	ES620	2	0.00026830726604908366
ES615	ES618	1	9466.129814103255
ES615	ES618	2	9466.129816867826
ES615	Portugal	1	1787.47643341108
ES615	Portugal	2	1787.47643341108
ES617	ES618	1	983.1120391793056
ES617	ES618	2	983.1120395729387
EU	France	1	12200.0
EU	France	2	13900.0
EU	Italy	1	6300.0
EU	Italy	2	7899.999986791856
France	Italy	1	5100.0
France	Italy	2	6300.0
ES113	ES111	1	1513.000001578091
ES113	ES111	2	1513.0000080751515
ES422	ES432	1	2140.0000026914063
ES422	ES432	2	2140.0000037547024
ES618	ES422	1	1920.0000024938265
ES618	ES422	2	1920.000003559681
ES213	France	1	0.0
ES213	France	2	2000.0
ES511	Italy	1	0.0
ES511	Italy	2	2000.0
ES523	Italy	1	0.0
ES523	Italy	2	2000.0
