FromNode,ToNode,Period,InstalledCap_MW
Spain,France,1,3655.698960641969
Spain,France,2,6499.999971336801
Spain,France,3,6499.999972264881
Spain,France,4,9999.99950679202
Spain,France,5,9999.999906012656
Spain,France,6,9999.99990550898
Spain,France,7,9999.999905887937
Spain,Portugal,1,4000.000014491456
Spain,Portugal,2,4200.000066933439
Spain,Portugal,3,4200.000090801267
Spain,Portugal,4,4200.000091669729
Spain,Portugal,5,4200.000103245602
Spain,Portugal,6,4200.000131910321
Spain,Portugal,7,7707.692935889033
EU,France,1,21299.999321554667
EU,France,2,31329.99966463508
EU,France,3,31329.99966981415
EU,France,4,38154.99925543362
EU,France,5,38154.999283536185
EU,France,6,38154.99928442756
EU,France,7,38154.99928507082
